525
599,768
596.48,764.64
593.96,761.28
590.884,761.511
587.467,763.952
586,767.398
586,771.598
589.16,774.107
592.654,776.436
596.262,777.439
600.1,775.733
603.938,774.028
605.002,769.991
605.986,765.915
605.295,761.772
602.72,759.24
598.727,758.055
594.608,758.878
592.399,762.202
591,766.071
591.192,770.192
594.162,773.162
597.508,772.328
601.003,769.998
604,767.402
604,763.202
602.002,761
597.802,761
595.252,763.914
593.654,767.733
593.798,771.342
597.658,772.996
600.85,772.583
602.997,768.979
602.306,764.836
599.662,763
595.541,763.486
591.556,764.815
592.269,768.384
593.744,772.316
597.435,772.509
600.934,771.405
600.47,767.231
600.006,763.056
597.054,760.086
594.068,757.133
591.082,754.179
588.096,751.225
585.11,748.272
582.124,745.318
579.138,742.364
576.153,739.411
573.167,736.457
570.181,733.504
567.195,730.55
564.209,727.596
561.223,724.643
558.237,721.689
555.251,718.735
552.265,715.782
549.279,712.828
546.293,709.874
543.307,706.921
540.321,703.967
537.335,701.013
534.349,698.06
531.363,695.106
528.377,692.153
525.391,689.199
522.405,686.245
519.419,683.292
516.433,680.338
513.447,677.384
510.461,674.431
507.475,671.477
504.489,668.523
501.503,665.57
498.517,662.616
495.531,659.662
492.545,656.709
489.559,653.755
486.573,650.802
483.587,647.848
480.601,644.894
477.615,641.941
474.629,638.987
471.643,636.033
468.657,633.08
465.671,630.126
462.685,627.172
459.699,624.219
456.713,621.265
453.727,618.312
450.741,615.358
447.755,612.404
444.769,609.451
441.783,606.497
438.797,603.543
435.811,600.59
432.825,597.636
429.839,594.682
426.853,591.729
423.867,588.775
420.882,585.821
417.896,582.868
414.91,579.914
411.924,576.96
408.938,574.007
405.952,571.053
402.966,568.1
399.98,565.146
396.994,562.192
394.008,559.239
391.022,556.285
388.036,553.331
385.05,550.378
382.064,547.424
379.078,544.47
376.092,541.517
373.106,538.563
370.12,535.609
367.134,532.656
364.148,529.702
361.162,526.749
358.176,523.795
355.19,520.841
352.204,517.888
349.218,514.934
346.232,511.98
343.246,509.027
340.26,506.073
337.274,503.119
334.288,500.166
331.302,497.212
328.316,494.258
325.33,491.305
322.303,489.604
319.129,492.355
315.955,495.106
312.781,497.856
309.607,500.607
306.433,503.358
303.259,506.109
300.085,508.859
296.912,511.61
293.738,514.361
290.564,517.111
287.39,519.862
284.216,522.613
281.042,525.364
277.868,528.114
274.694,530.865
271.52,533.616
268.346,536.366
265.173,539.117
261.999,541.868
258.825,544.619
255.651,547.369
252.477,550.12
249.303,552.871
246.129,555.621
242.955,558.372
239.781,561.123
236.607,563.874
233.434,566.624
230.26,569.375
227.086,572.126
223.912,574.876
220.738,577.627
217.564,580.378
