49
7,5,-7,-5,0,0,2.91667
21,5,-12,-5,-9,0,1.25
31,5,-17,-5,-14,0,1.25
41,5,-22,-5,-19,0,1.25
51,5,-27,-5,-24,0,1.25
31,-6,-27,2,-4,4,3.83333
15,13,-26,-10,11,-3,21.5833
-57,5,20,-13,37,8,29.75
-51,21,18,-22,33,1,28.75
-25,33,-4,-25,29,-8,46.75
58,33,-45,-25,-13,-8,45.3333
91,24,-59,-21,-32,-3,40.5
114,6,-67,-11,-47,5,26.6667
109,-23,-56,0,-53,23,5.75
-53,-28,25,4,28,24,5
-51,53,4,-30,47,-23,25.0833
77,52,-73,-30,-4,-22,46
-134,34,43,-39,91,5,176
43,78,-116,-51,73,-27,378
225,29,-135,-40,-90,11,191.25
42,62,-102,-44,60,-18,351
-113,115,54,-77,59,-38,16.25
-55,117,25,-78,30,-39,16.25
7,114,-7,-76,0,-38,22.1667
54,115,-30,-76,-24,-39,18.5
100,114,-54,-76,-46,-38,25.3333
153,116,-80,-76,-73,-40,21
200,117,-104,-76,-96,-41,23.3333
-208,-59,101,-14,107,73,43.5
-185,0,65,-4,120,4,36.6667
-150,-57,72,-16,78,73,44.5
286,3,-187,-6,-99,3,66
258,-65,-131,-13,-127,78,30.3333
296,-68,-150,-12,-146,80,30.6667
217,-64,-111,-12,-106,76,36.6667
340,-65,-172,-11,-168,76,29
-210,-106,96,47,114,59,18
-150,-105,65,48,85,57,15
212,-93,-115,40,-97,53,19.5
256,-92,-135,40,-121,52,14
296,-88,-152,38,-144,50,8
345,-81,-185,34,-160,47,27.0833
-218,123,85,-93,133,-30,252
307,109,-181,-83,-126,-26,261.25
-420,41,166,-67,254,26,682
-341,160,113,-107,228,-53,517.5
446,148,-273,-104,-173,-44,500
555,26,-336,-64,-219,38,994.5
82,174,-271,-141,189,-33,4140
